               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.050188,             0.13905,            0.019197,             0.58789,             0.36182,             0.38892,             0.23245,            0.058816,             0.29271,            0.027659,            0.008911,            0.008911,            0.008911
                 112,            0.049859,             0.13511,            0.019222,             0.60226,             0.36233,             0.38897,             0.23019,            0.058759,             0.29097,            0.027283,           0.0089011,           0.0089011,           0.0089011
                 113,            0.050371,             0.14299,             0.01938,             0.62125,             0.36061,             0.38928,              0.2334,            0.058782,             0.29313,            0.027707,           0.0088912,           0.0088912,           0.0088912
                 114,            0.049957,             0.14094,            0.019225,             0.60147,             0.36193,             0.38891,             0.23254,            0.058856,             0.29313,            0.027617,           0.0088813,           0.0088813,           0.0088813
                 115,            0.049918,             0.13978,            0.019125,             0.61077,             0.35838,             0.38998,             0.23345,            0.058809,             0.29332,            0.027672,           0.0088714,           0.0088714,           0.0088714
                 116,            0.049462,             0.13611,            0.018829,             0.59398,             0.35777,             0.38668,             0.23023,            0.058898,             0.29202,            0.027611,           0.0088615,           0.0088615,           0.0088615
                 117,            0.049929,             0.14399,             0.01917,             0.59287,             0.36279,             0.38768,             0.22966,            0.058907,              0.2944,            0.027797,           0.0088516,           0.0088516,           0.0088516
                 118,            0.049968,             0.14322,            0.019066,             0.59027,             0.36201,             0.38753,             0.23171,             0.05887,             0.29276,            0.027785,           0.0088417,           0.0088417,           0.0088417
                 119,            0.049487,             0.13319,            0.018616,             0.57035,              0.3685,             0.38902,             0.23176,             0.05885,             0.29334,            0.027658,           0.0088318,           0.0088318,           0.0088318
                 120,            0.049836,             0.14293,            0.019006,             0.57833,             0.36234,             0.38971,             0.23135,            0.058771,             0.29379,              0.0276,           0.0088219,           0.0088219,           0.0088219
                 121,            0.049687,             0.13855,            0.018821,             0.57658,             0.35776,             0.38665,             0.22978,             0.05893,             0.29528,            0.027739,            0.008812,            0.008812,            0.008812
                 122,             0.04995,             0.14274,            0.018926,              0.6065,             0.36398,             0.38959,              0.2333,             0.05879,             0.29394,            0.027759,           0.0088021,           0.0088021,           0.0088021
                 123,            0.049318,             0.13618,            0.018527,             0.59245,             0.36808,             0.39157,              0.2298,            0.058824,             0.29486,             0.02784,           0.0087922,           0.0087922,           0.0087922
                 124,             0.04965,             0.14075,            0.018865,              0.6115,             0.35932,             0.38516,              0.2268,            0.058956,             0.29589,            0.027736,           0.0087823,           0.0087823,           0.0087823
                 125,            0.049633,             0.13943,            0.018883,             0.57834,             0.36415,             0.38694,             0.22921,             0.05877,             0.29535,            0.027665,           0.0087724,           0.0087724,           0.0087724
                 126,            0.049124,             0.13348,            0.018424,             0.59475,             0.36266,             0.38323,             0.22842,            0.058897,             0.29578,            0.027812,           0.0087625,           0.0087625,           0.0087625
                 127,            0.049284,             0.13721,            0.018471,             0.62842,             0.36623,              0.3885,             0.22985,            0.058781,             0.29543,            0.027748,           0.0087526,           0.0087526,           0.0087526
                 128,            0.049257,             0.13809,            0.018407,             0.57445,             0.36431,             0.38631,             0.22976,             0.05899,             0.29695,            0.028041,           0.0087427,           0.0087427,           0.0087427
                 129,            0.049097,             0.13426,            0.018413,             0.60948,              0.3685,             0.39498,             0.23599,            0.058859,             0.29533,            0.027838,           0.0087328,           0.0087328,           0.0087328
                 130,            0.049302,             0.13535,            0.018578,             0.60924,             0.36013,             0.40496,             0.24212,            0.058802,             0.29574,            0.027948,           0.0087229,           0.0087229,           0.0087229
                 131,             0.04914,             0.14143,            0.018477,               0.595,             0.37037,             0.38957,             0.23219,            0.058762,             0.29532,            0.027914,            0.008713,            0.008713,            0.008713
                 132,            0.048876,             0.13745,            0.018226,             0.60459,             0.36238,             0.39594,             0.23455,            0.058778,             0.29643,            0.027854,           0.0087031,           0.0087031,           0.0087031
                 133,            0.049071,             0.13417,            0.018182,             0.61321,             0.35908,             0.39439,             0.23344,            0.058749,             0.29665,            0.027851,           0.0086932,           0.0086932,           0.0086932
                 134,             0.04928,             0.13891,            0.018464,             0.58333,             0.36355,             0.39099,             0.23275,            0.058717,             0.29606,            0.027709,           0.0086833,           0.0086833,           0.0086833
                 135,            0.048894,             0.13522,            0.018221,             0.59727,              0.3611,             0.38803,              0.2329,            0.058872,             0.29611,            0.027875,           0.0086734,           0.0086734,           0.0086734
                 136,            0.048764,             0.13404,            0.018085,             0.60122,             0.36336,              0.3861,             0.23231,            0.058824,             0.29632,            0.027983,           0.0086635,           0.0086635,           0.0086635
